"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PM005","PM010","PM020","PM030","PM035","PM040","PM050","PM060","PM070","PM080","PM090","PM100","PX030","PX040","PX020","PX050","PX010"
"2005","SE",151902,746.788990825688,"1219.14","3","2005","25","2",1954,"2","5","3","SE","2","NA","4","1","NA","NA","NA","NA","3","3","40","12","0","NA","b-e","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","2","NA","2","NA",0,0,0,81632,0,1052,2010,0,0,0,0,0,0,0,0,1,"281.2475","NA","1934","1925","NA","NA","1","NA","NA","NA","NA","5",15190,"3",50,"1","9.1243"
"2005","SE",151903,746.788990825688,"NA","2","2005","60","1",1946,"1","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","3","40","0","0","5",,"NA","12","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",81,263,0,27476,0,0,-485,0,0,0,0,0,0,0,0,1,"629.935","NA","NA","1938","NA","NA","1","NA","NA","1","NA","3",15190,"2",58,"3","9.1243"
"2005","SE",151904,746.788990825688,"1319.57","1","2005","NA","4",1987,"2","1","1","SE","2","NA","2","4","NA","1","2","NA","3",,"NA","3","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA","2","NA",0,0,0,0,0,283,0,0,0,0,18845,47699,0,0,0,1,"629.935","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5",15190,"2",17,"1","9.1243"
"2005","SE",151981,746.788990825688,"1271.92","4","2005","85","1",1970,"2","1","3","Other","NA","NA","4","4","NA","1","NA","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"638.125","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA",15198,"3",34,"3","9.1243"
"2005","SE",151982,746.788990825688,"1259.87","3","2005","45","3",1969,"1","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","30","12","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","1",0,0,0,20413,2283,1187,0,0,0,0,0,0,0,0,0,1,"609.57","NA","1925","NA","NA","0","NA","NA","NA","NA","51","NA",15198,"2",35,"1","9.1243"
"2005","SE",152321,746.788990825688,"NA","2","2005","60","1",1961,"1","2","3","SE","2","NA","1","1","NA","NA","NA","NA","3","8","40","12","0","20","b-e","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",0,0,0,29004,0,0,0,0,0,0,0,0,9671,0,0,1,"609.57","1","1942","1925","NA","5","NA","NA","NA","NA","NA","NA",15232,"2",43,"3","9.1243"
"2005","SE",152322,746.788990825688,"1276.25","4","2005","65","4",1963,"2","2","2","SE","NA","NA","3","2","NA","1","NA","NA","3","5","28","0","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","2","NA","2","NA",0,0,0,19302,0,0,0,0,0,0,0,0,0,0,0,1,"374.9967","1","1925","NA","NA","NA","NA","NA","NA","6","NA","3",15232,"2",41,"2","9.1243"
"2005","SE",152331,746.788990825688,"1181.08","2","2005","70","4",1969,"2","1","1","SE","2","NA","4","1","NA","NA","2","NA","NA","4","NA","0","10","NA","i","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","1","NA","2","NA",0,0,0,15399,0,0,0,0,0,5818,0,0,927,0,0,1,"NA","NA","1935","NA","NA","NA","NA","1","NA","NA","NA","NA",15233,"2",35,"1","9.1243"
"2005","SE",152332,746.788990825688,"1319.57","4","2005","NA","2",1964,"1","1","3","SE","2","NA","4","1","NA","NA","2","NA","3","3","40","12","5","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","NA","2","NA",0,0,0,119415,0,658,0,0,0,0,0,0,0,0,0,1,"635.96","1","1925","1930","NA","NA","2","2","NA","1","NA","NA",15233,"3",40,"1","9.1243"
"2005","SE",152381,746.788990825688,"1215","3","2005","60","1",1958,"1","2","1","SE","2","NA","3","1","NA","NA","2","NA","3","0 - 1","38","12","12","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","NA","6","2","NA",0,0,0,30043,0,658,0,0,0,0,0,0,0,0,0,1,"584.745","1","1937","1925","NA","NA","NA","1","NA","6","NA","NA",15238,"2",46,"1","9.1243"
"2005","SE",152382,746.788990825688,"NA","1","2005","50","2",1966,"2","2","2","SE","2","NA","5","1","NA","NA","NA","NA","3","2","46","12","12","NA","k","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","2","NA",0,1949,0,39957,20,0,675,0,0,0,0,0,0,0,0,1,"1215","NA","NA","NA","NA","1","1","NA","NA","6","NA","4",15238,"3",38,"1","9.1243"
"2005","SE",152671,746.788990825688,"NA","4","2005","60","3",1962,"2","2","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","l-n","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",0,0,0,25885,0,658,468,0,0,0,0,0,0,0,0,1,"638.125","NA","NA","NA","NA","1","NA","NA","NA","1","NA","NA",15267,"2",42,"1","9.1243"
"2005","SE",152672,746.788990825688,"1319.57","3","2005","60","4",1958,"1","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","NA","12","0","NA","k","NA","12","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","1","NA","2","NA",0,0,0,2687,0,0,-1184,0,0,115265,0,0,4491,0,0,1,"1276.25","NA","1931","1925","NA","3","NA","NA","71","6","NA","NA",15267,"3",46,"3","9.1243"
"2005","SE",152771,746.788990825688,"NA","3","2005","80","2",1959,"2","1","1","SE","2","NA","2","1","NA","1","2","NA","3","7","24","12","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA",0,0,0,23080,454,0,0,0,0,0,0,0,367,0,0,1,"1271.92","NA","NA","NA","NA","3","1","NA","NA","NA","NA","NA",15277,"2",45,"1","9.1243"
"2005","SE",152772,746.788990825688,"NA","2","2005","70","1",1959,"1","1","3","SE","2","NA","4","1","NA","NA","NA","NA","3","3","NA","12","0","NA",,"NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA",0,0,0,33827,491,263,0,0,0,0,0,0,314,0,0,1,"609.57","NA","NA","1927","NA","NA","NA","2","NA","NA","81","NA",15277,"2",45,"1","9.1243"
"2005","SE",152773,746.788990825688,"1171.59","3","2005","80","4",1984,"1","1","3","SE","2","NA","2","4","NA","NA","1","NA","3",,"NA","0","2","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","NA","NA",0,0,0,1644,0,263,0,0,0,0,0,0,0,0,1247,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15277,"2",20,"3","9.1243"
"2005","SE",152851,746.788990825688,"1215","1","2005","60","1",1971,"1","2","3","Other","2","NA","5","8","NA","2","1","NA","NA",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","2","8",0,2154,0,0,0,133,0,0,0,69,0,0,702,0,532,1,"NA","1","1928","NA","NA","NA","4","NA","NA","NA","NA","NA",15285,"2",33,"3","9.1243"
"2005","SE",152852,746.788990825688,"NA","4","2005","NA","1",1970,"2","1","1","SE","2","NA","4","4","NA","1","2","NA","NA","4","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",0,160,0,9860,0,256,0,0,0,5246,0,0,0,0,0,1,"550.605","NA","NA","1925","NA","NA","NA","NA","NA","6","NA","5",15285,"2",34,"1","9.1243"
"2005","SE",152881,746.788990825688,"1319.57","2","2005","90","3",1960,"1","1","1","SE","2","NA","3","1","NA","NA","2","NA","3","7","43","12","0","NA","f","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","NA","NA","NA","NA",0,269,0,31358,156,395,584,0,0,0,0,0,0,0,0,1,"584.745","NA","1945","NA","NA","1","NA","1","NA","1","NA","1",15288,"2",44,"1","9.1243"
"2005","SE",152882,746.788990825688,"NA","2","2005","90","2",1962,"2","2","1","SE","2","NA","5","1","NA","NA","NA","NA","NA","2","45","12","0","NA","k","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","NA","NA",0,0,0,35366,0,132,0,0,0,0,0,0,4116,0,0,1,"1271.92","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA",15288,"2",42,"1","9.1243"
"2005","SE",152883,746.788990825688,"NA","4","2005","68","1",1988,"2","1","1","Other","2","NA",,"4","NA","NA","NA","NA","NA",,"NA","0","0","NA",,"NA","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","3","2","3","NA","NA",0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,1,"NA","NA","1941","NA","NA","NA","NA","NA","NA","NA","NA","5",15288,"3",16,"1","9.1243"
"2005","SE",153521,746.788990825688,"1171.59","4","2005","90","2",1968,"2","1","1","SE","2","NA","5","2","NA","NA","NA","NA","3","5","NA","12","12","NA","o","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA",0,0,0,27136,0,0,0,0,0,0,0,0,942,0,0,1,"296.15","5","NA","1925","NA","2","1","NA","NA","6","NA","5",15352,"2",36,"1","9.1243"
"2005","SE",153522,746.788990825688,"NA","4","2005","70","1",1964,"1","5","3","SE","2","NA","5","1","NA","NA","NA","NA","NA","2","40","12","0","NA","l-n","NA","13","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","6","NA","NA",0,0,0,44249,0,0,45751,0,0,0,0,0,2205,0,0,1,"585.795","NA","1925","NA","NA","1","2","2","12","NA","NA","NA",15352,"3",40,"3","9.1243"
"2005","SE",153661,746.788990825688,"1184.35","2","2005","90","4",1971,"2","1","1","Other","1","3","4","9","NA","NA","2","NA","3",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","2","NA",0,550,0,0,0,1315,0,0,0,143,0,0,0,0,0,1,"NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","5",15366,"2",33,"1","9.1243"
"2005","SE",153662,746.788990825688,"NA","4","2005","NA","2",1971,"1","1","1","SE","2","5","5","3","NA","NA","NA","NA","NA","2","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","2","NA","2","NA",0,2154,0,1248,0,565,0,0,0,1224,0,0,89,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15366,"3",33,"1","9.1243"
"2005","SE",153811,746.788990825688,"1171.59","3","2005","70","4",1987,"1","1","1","EU","1","3","2","4","NA","NA","2","NA","3",,"NA","10","2","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA","NA","NA",1,0,0,182,0,278,0,0,0,0,0,0,0,0,75,1,"585.795","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5",15381,"2",17,"1","9.1243"
"2005","SE",153812,746.788990825688,"1119.49","4","2005","50","3",1959,"1","5","2","SE","2","NA","5","1","NA","NA","NA","NA","NA","3","NA","NA","0","NA","b-e","NA","13","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","2","7","2","NA",55,0,0,45492,0,0,0,0,0,0,0,0,1105,0,0,1,"1171.59","NA","1925","NA","NA","5","1","NA","NA","NA","NA","NA",15381,"2",45,"3","9.1243"
"2005","SE",154111,746.788990825688,"1171.59","2","2005","85","3",1958,"1","1","1","SE","2","NA","3","1","NA","NA","2","NA","3","8","NA","12","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA",0,2882,0,22716,0,0,0,0,0,0,0,0,6164,0,0,1,"390.53","NA","1934","NA","NA","NA","1","1","NA","6","NA","NA",15411,"3",46,"3","9.1243"
"2005","SE",154161,746.788990825688,"NA","3","2005","60","2",1982,"2","1","3","SE","2","NA","4","1","NA","NA","NA","NA","3","2","25","2","12","NA","o","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","2","NA","2","NA",0,0,0,20905,0,0,0,0,0,0,0,0,0,0,0,1,"609.57","1","1925","1952","NA","NA","4","NA","NA","6","NA","NA",15416,"3",22,"1","9.1243"
"2005","SE",154162,746.788990825688,"NA","3","2005","60","1",1955,"1","4","3","SE","2","NA","3","1","NA","NA","2","NA","3","7","40","12","0","NA","f","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",6,0,0,28511,0,0,267,0,0,0,0,0,0,0,0,1,"1124.99","NA","1929","NA","NA","1","1","1","NA","NA","NA","NA",15416,"2",49,"3","9.1243"
"2005","SE",154163,746.788990825688,"1271.92","2","2005","70","2",1955,"2","2","1","SE","2","NA","3","3","NA","NA","NA","NA","3",,"40","12","0","NA",,"NA","7","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",0,1401,0,13335,0,0,0,0,0,12390,0,0,0,0,0,1,"1259.87","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15416,"2",49,"1","9.1243"
"2005","SE",154164,746.788990825688,"1319.57","3","2005","70","3",1988,"2","1","1","SE","1","NA","2","4","NA","NA","NA","NA","NA",,"NA","12","0","NA",,"NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","2","6","2","1",0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4",15416,"3",16,"1","9.1243"
"2005","SE",154211,746.788990825688,"1171.59","1","2005","75","3",1969,"2","2","3","SE","2","NA","3","4","NA","NA","2","NA","NA","3","14","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",0,0,0,3721,0,0,0,0,0,0,0,0,0,0,3357,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15421,"2",35,"1","9.1243"
"2005","SE",154212,746.788990825688,"1169.49","3","2005","60","4",1964,"1","2","3","SE","2","NA","3","1","NA","NA","NA","NA","2","3","40","12","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",0,1334,0,40029,0,0,0,0,0,0,0,0,1685,0,0,1,"607.5","1","1925","NA","NA","2","NA","NA","NA","1","NA","NA",15421,"2",40,"3","9.1243"
"2005","SE",154491,746.788990825688,"1111.5","3","2005","40","2",1970,"2","2","3","SE","2","NA","4","1","NA","NA","NA","NA","3","2","40","7","0","NA","l-n","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",0,0,0,33946,0,0,0,0,0,0,0,0,1008,0,0,1,"607.5","1","NA","1926","NA","3","5","NA","NA","NA","NA","2",15449,"3",34,"3","9.1243"
"2005","SE",154492,746.788990825688,"1124.99","4","2005","75","3",1969,"1","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","5","40","12","0","NA","p-q","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",0,658,0,79368,0,0,-39,0,0,5796,0,0,0,0,0,1,"281.2475","NA","NA","NA","NA","1","NA","NA","61","NA","NA","NA",15449,"2",35,"1","9.1243"
"2005","SE",154611,746.788990825688,"NA","3","2005","55","1",1953,"1","2","1","SE","2","NA","3","1","NA","NA","NA","NA","3","4","NA","12","0","NA","g","NA","11","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",0,0,0,94332,0,263,0,0,0,0,0,0,0,0,0,1,"584.745","NA","1925","1935","NA","NA","1","NA","NA","NA","NA","5",15461,"3",51,"3","9.1243"
"2005","SE",154612,746.788990825688,"NA","3","2005","60","2",1957,"2","5","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","40","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,718,0,3463,0,658,0,0,0,0,120,0,1991,0,0,1,"NA","NA","1925","NA","NA","NA","NA","NA","NA","NA","NA","NA",15461,"2",47,"4","9.1243"
"2005","SE",154613,746.788990825688,"1124.99","1","2005","50","1",1985,"1","1","1","SE","2","NA","3","2","NA","NA","1","NA","3","5","50","0","0","NA","g","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","NA","NA","NA","NA",0,0,0,1734,0,0,0,0,0,0,0,0,912,0,0,1,"NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA",15461,"2",19,"3","9.1243"
"2005","SE",154614,746.788990825688,"1219.14","4","2005","NA","1",1986,"2","1","1","SE","2","NA","2","4","NA","1","1","NA","NA",,"NA","1","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA",191,0,0,346,0,0,0,0,0,0,0,0,0,0,312,1,"NA","NA","NA","1925","NA","NA","NA","NA","NA","NA","NA","NA",15461,"2",18,"3","9.1243"
"2005","SE",154661,746.788990825688,"NA","3","2005","90","4",1963,"2","2","1","SE","2","NA","5","1","NA","NA","NA","NA","3","2","NA","12","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA",0,0,0,40150,5254,548,0,0,0,0,0,0,0,0,0,1,"592.175","1","NA","1936","NA","1","1","NA","41","6","32","NA",15466,"3",41,"4","9.1243"
"2005","SE",154662,746.788990825688,"NA","4","2005","NA","4",1954,"1","2","1","SE","2","NA","2","1","NA","NA","NA","NA","3","7","55","0","0","NA",,"NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",0,0,0,41876,0,0,0,0,0,0,0,0,8890,0,0,1,"584.745","NA","NA","1947","NA","1","NA","1","NA","1","NA","NA",15466,"3",50,"3","9.1243"
"2005","SE",154691,746.788990825688,"1171.59","3","2005","50","1",1962,"1","1","2","SE","2","NA","5","1","NA","NA","NA","NA","NA","2","40","11","0","NA","f","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","NA","NA","NA","NA",0,0,0,18904,160,132,0,0,0,0,0,0,0,0,0,1,"NA","1","NA","1925","NA","NA","1","NA","NA","6","51","NA",15469,"3",42,"3","9.1243"
"2005","SE",154692,746.788990825688,"1169.49","3","2005","60","1",1959,"2","1","2","SE","2","NA","3","2","NA","1","2","NA","3","4","NA","0","12","NA","l-n","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","2","NA",0,0,0,15660,0,0,0,0,0,7672,0,0,0,0,0,1,"NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA",15469,"3",45,"1","9.1243"
"2005","SE",154881,746.788990825688,"1173.25","4","2005","75","2",1960,"2","5","1","SE","2","NA","4","1","NA","NA","2","NA","NA","2","NA","1","0","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","1",0,0,0,12552,0,263,0,0,0,0,0,0,628,0,0,1,"NA","1","1925","NA","NA","NA","NA","1","NA","6","NA","5",15488,"2",44,"4","9.1243"
"2005","SE",154882,746.788990825688,"1181.08","4","2005","60","2",1959,"1","2","3","EU","2","3","3","1","NA","NA","2","NA","NA","4","45","0","0","NA","f","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","1","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"562.495","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15488,"3",45,"1","9.1243"
"2005","SE",154883,746.788990825688,"NA","2","2005","60","3",1985,"1","1","1","SE","2","NA","3","4","NA","NA","2","NA","NA",,"NA","0","6","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA",0,2087,0,1518,0,0,0,0,0,122,0,0,276,0,193,1,"NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",15488,"3",19,"3","9.1243"
"2005","SE",154884,746.788990825688,"1124.99","4","2005","70","2",1983,"2","1","1","SE","2","3","3","1","NA","NA","NA","NA","NA","3","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA",0,0,0,10223,0,0,0,0,0,0,0,0,0,0,0,1,"390.53","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",15488,"2",21,"1","9.1243"
"2005","SE",155111,746.788990825688,"NA","3","2005","60","1",1973,"2","2","3","SE","2","NA","5","2","NA","1","2","NA","NA","2","NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","2","NA","2","1",0,0,0,10640,0,1096,0,0,0,640,0,0,0,0,406,1,"NA","NA","1936","1926","NA","5","1","NA","NA","NA","NA","NA",15511,"2",31,"1","9.1243"
"2005","SE",155112,746.788990825688,"1215","3","2005","60","1",1967,"1","1","1","SE","2","NA","5","1","NA","NA","NA","NA","3","3","NA","12","0","NA","k","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","6","2","NA",674,154,0,28893,0,0,0,0,0,0,0,0,0,0,0,1,"584.745","NA","NA","1945","NA","NA","NA","NA","51","NA","NA","5",15511,"2",37,"1","9.1243"
"2005","SE",155441,746.788990825688,"1173.25","2","2005","55","4",1967,"1","2","2","SE","2","NA","3","1","NA","NA","1","NA","NA","3","NA","12","0","NA",,"NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","7","2","NA",0,132,0,23604,0,0,0,0,0,0,0,0,0,0,0,1,"NA","NA","1930","NA","NA","2","NA","NA","71","1","NA","NA",15544,"2",37,"3","9.1243"
"2005","SE",155442,746.788990825688,"1319.57","3","2005","31","4",1968,"2","1","2","SE","1","NA","5","2","NA","NA","NA","NA","NA","3","NA","0","0","NA","k","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","1","NA",167,0,0,10190,0,0,0,0,0,0,0,0,351,0,0,1,"NA","1","1925","NA","NA","1","NA","NA","NA","NA","NA","NA",15544,"3",36,"1","9.1243"
"2005","SE",155511,746.788990825688,"NA","4","2005","60","2",1963,"2","2","2","SE","2","NA","5","2","NA","NA","1","NA","NA","0 - 1","40","3","12","NA",,"NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA",0,395,0,22655,0,0,0,0,1364,0,0,0,0,0,0,1,"585.795","NA","1925","NA","NA","NA","4","NA","NA","1","NA","NA",15551,"2",41,"4","9.1243"
"2005","SE",155512,746.788990825688,"1169.49","4","2005","NA","1",1957,"1","5","1","SE","2","NA","3","1","NA","NA","NA","NA","3","8","40","12","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","2","NA",0,0,0,18071,0,526,6937,0,495,0,0,0,0,0,0,1,"586.625","1","NA","1953","NA","3","2","NA","72","NA","NA","4",15551,"2",47,"1","9.1243"
"2005","SE",155721,746.788990825688,"NA","4","2005","90","4",1954,"1","5","1","SE","2","NA","2","1","NA","NA","NA","NA","3","7","40","12","0","NA","g","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA",0,0,0,68211,0,0,0,0,0,0,0,0,1099,0,0,1,"607.5","1","NA","NA","NA","NA","3","1","NA","6","NA","5",15572,"2",50,"1","9.1243"
